Pclass,Name,Survived,Sex,Age,Hometown,Role,Role Additional info,Image,Misc Information,Lifeboat,Body Disposition,Job Area,Source of info 1,Source of info 2
n/a,"Barker, T ",0,male,37,Southampton,Assistant butcher,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Barrow, H ",0,male,35,Southampton,Assistant butcher,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Hensford, J ",0,male,29,Southampton,Assistant butcher,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Mills, C ",1,male,51,Southampton,Assistant butcher,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Wiltshire, W ",0,male,33,Southampton,Assistant butcher,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Bochetez, J ",0,male,,Southampton,Assistant chef,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Halloway, S ",0,male,,Southampton,Assistant clothes presser,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Gros, Claude G ",0,male,24,Southampton,Assistant coffee man, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Leader, A ",0,male,22,West Southbourne,Assistant confectioner,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Vine, H ",0,male,18,London,Assistant controller, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Coombs, C ",0,male,35,Southampton,Assistant cook,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Gollop, C ",0,male,28,Bournemouth,Assistant cook,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Lock, A ",0,male,33,Southampton,Assistant cook,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Thorley, W ",0,male,15,Southampton,Assistant cook,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Welch, W. H ",0,male,,Southampton,Assistant cook,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Millar, T.",0,male,33,Belfast,Assistant deck engineer,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Boston, W ",0,male,30,Southampton,Assistant deck steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Hawksworth, W ",0,male,38,Southampton,Assistant deck steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Jupe, Herbert",0,male,31,"Bitterne Park, Southampton",Assistant electrican,,,,,"yes, buried at sea",Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Ervine, George",0,male,18,Belfast,Assistant electrician,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Kelly, William",0,male,23,"Dublin, Ireland",Assistant electrician,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Middleton, Alfred Pirrie",0,male,17,"Ballisare, Sligo",Assistant electrician,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Monteverdi, J ",0,male,23,Southampton,Assistant entree, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Dornier, S ",0,male,20,Southampton,Assistant fish, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Testoni, Ercole",0,male,23,,Assistant glass man,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Pacherat, J ",0,male,19,Southampton,Assistant larder, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Akerman, J ",0,male,35,Southampton,Assistant pantryman,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Edwards, C ",0,male,38,Southampton,Assistant pantryman,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Harris, E ",0,male,18,Winchester,Assistant pantryman,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Levett, G ",0,male,21,New Southgate,Assistant pantryman,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Marks, J ",0,male,26,Southampton,Assistant pantryman,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Marriott, J. W ",0,male,20,New Southgate,Assistant pantryman,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Smith, F ",0,male,,Southampton,Assistant pantryman,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Wrapson, H ",0,male,19,Southampton,Assistant pantryman,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Desvernini, L ",0,male,20,Southampton,Assistant pastry, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Aspelagi, G ",0,male,26,London,Assistant plateman, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Corben, E. T ",0,male,27,Southampton,Assistant printer,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Holland, T ",0,male,28,Liverpool,Assistant reception room attendant,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Cornaire, M ",0,male,19,London,Assistant roast, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Hamilton, E ",0,male,25,Southampton,Assistant S. R. steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Jouanmault, G ",0,male,24,Southampton,Assistant sauce, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Berthold, Florentini",0,male,,London,Assistant scullery man, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Hughes, H ",0,male,33,Southampton,Assistant second steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Wheat, Joseph Thomas",1,male,,Southampton,Assistant second steward,,,,11,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Johnson, H. ",0,male,25,Southampton,Assistant ship's cook,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Vilvarlarge, P ",0,male,19,"Rue National-Ambroise, France",Assistant soup, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Andrews, Charles E ",1,male,19,Southampton,Assistant steward,,,,16,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Christmas, H ",0,male,33,Southampton,Assistant steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Dean, G ",0,male,19,Southampton,Assistant steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Gunn, J ",0,male,28,Southampton,Assistant steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Humphreys, H ",0,male,31,Dolgelly,Assistant steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Kerley, W. T ",0,male,28,"Bowerthalk, Salisbury",Assistant steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Lacey, Bert W ",0,male,21,Salisbury,Assistant steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Nichols, W. K ",1,male,35,Southampton,Assistant steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
n/a,"Owens, L ",0,male,29,Southampton,Assistant steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,
