,Pclass,Name,Survived,Sex,Age,Hometown,Role,Role Additional info,Image,Misc Information,Lifeboat,Body Disposition,Job Area,Source of info 1,Source of info 2,Home_Lat,Home_Lng
294,,"Couper, R.",1.0,male,30.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
295,,"Crimmins, J.",0.0,male,21.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
296,,"Cross, W.",0.0,male,39.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
297,,"Cunningham, B.",0.0,male,30.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
298,,"Curtis, A.",0.0,male,25.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
299,,"Diaper, J.",1.0,male,25.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
300,,"Dilley, J.",1.0,male,30.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
301,,"Doel, F.",1.0,male,22.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
302,,"Doyle, F.",0.0,male,27.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
303,,"Dymond, Frank",1.0,male,25.0,Southampton,Fireman,,,,15,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
304,,"Flarty, E.",1.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
305,,"Fraser, J.",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
306,,"Geer, A.",0.0,male,24.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
307,,"Godley, G.",1.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
308,,"Golder, M. W.",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
309,,"Graham, T.",1.0,male,,Belfast,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,54.59728500000001,-5.93012
310,,"Graves, S.",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
311,,"Grodidge, E.",0.0,male,32.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
312,,"Hagan, J.",1.0,male,,Southampton,Fireman,,,,Collapsible B,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
313,,"Hall, J.",0.0,male,32.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
314,,"Hallett, G.",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
315,,"Hands, B.",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
316,,"Hannam, G.",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
317,,"Harris, E.",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
318,,"Harris, F.",0.0,male,34.0,Gosport,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.794995,-1.117547
319,,"Hart, Thomas ",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
320,,"Hasgood, R.",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
321,,"Head, A.",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
322,,"Hodges, W.",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
323,,"Hosgood, R.",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
324,,"Hunt, T.",0.0,male,28.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
325,,"Hurst, C. J.",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
326,,"Instance, T.",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
327,,"Jacobson, John",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
328,,"James, Thos",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
329,,"Jarvis, W.",0.0,male,37.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
330,,"Joas, N.",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
331,,"Judd, C.",1.0,male,32.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
332,,"Kasper, F.",1.0,male,40.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
333,,"Kemish, George",1.0,male,,Southampton,Fireman,,,,9,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
334,,"Kerr, T.",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
335,,"Kinsella, L.",0.0,male,30.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
336,,"Lahy, T.",0.0,male,,E. Dulwich,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,51.4433257,-0.0675547
337,,"Light, C.",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
338,,"Light, W.",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
339,,"Lindsay, W.",1.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
340,,"Lloyd, W.",0.0,male,29.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
341,,"Major, W.",1.0,male,,Southampton,Fireman,,,,13,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
342,,"Marrett, G.",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
343,,"Marsh, F.",0.0,male,28.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
344,,"Mason, F.",1.0,male,32.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
345,,"May, Arthur",0.0,male,23.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
346,,"Mayzes, T.",1.0,male,25.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
347,,"McAndrew, Thos",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
348,,"McAndrews, W.",0.0,male,,,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,,
349,,"McCastlen, W.",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
350,,"McGarvey, E.",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
351,,"McGaw, E.",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
352,,"McGregor, J.",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
353,,"McQuillan, William",0.0,male,32.0,Belfast,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,54.59728500000001,-5.93012
354,,"McRae, William",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
355,,"Milford, George",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
356,,"Mintram, W.",0.0,male,46.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
357,,"Moore, J.",1.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
358,,"Morgan, T.",0.0,male,26.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
359,,"Murdoch, W.",1.0,male,34.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
360,,"Nettleton, G.",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
361,,"Noon, John",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
362,,"Norris, J.",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
363,,"Noss, B.",0.0,male,21.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
364,,"Noss, H.",1.0,male,31.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
365,,"Nutbean, William",1.0,male,31.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
366,,"Oliver, H.",1.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
367,,"Othen, C.",1.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
368,,"Paice, R.",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
369,,"Painter, Charles",0.0,male,31.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
370,,"Painter, F.",0.0,male,29.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
371,,"Pand, G.",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
372,,"Pearce, J.",1.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
373,,"Podesta, J.",1.0,male,25.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
374,,"Priest, John",1.0,male,23.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
375,,"Pusey, Robert",1.0,male,24.0,Southampton,Fireman,,,,1,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
376,,"Reeves, F.",0.0,male,30.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
377,,"Rice, C.",1.0,male,32.0,Southampton,Fireman,,,,10,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
378,,"Richards, H.",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
379,,"Rickman, G.",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
380,,"Roberts, G.",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
381,,"Sangster, C.",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
382,,"Saunders, T.",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
383,,"Saunders, W.",0.0,male,30.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
384,,"Scott, Archibald",0.0,male,40.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
385,,"Self, E.",1.0,male,25.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
386,,"Senior, Harry",1.0,male,31.0,London,Fireman,,,,Collapsible B,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,51.5073509,-0.1277583
387,,"Shea, Thos",0.0,male,29.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
388,,"Shiers, Alfred",1.0,male,24.0,Southampton,Fireman,,,,5,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
389,,"Smith,",0.0,male,,,Fireman,,,,4,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,,
390,,"Smither, H.",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
391,,"Snellgrove, G.",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
392,,"Sparkman, H.",1.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
393,,"Stanbrook, Augustus",0.0,male,30.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
394,,"Street, A.",1.0,male,25.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
395,,"Stubbs, H.",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
396,,"Sullivan, S.",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
397,,"Taylor, J.",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
398,,"Taylor, James",1.0,male,25.0,Southampton,Fireman,,,,1,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
399,,"Taylor, T.",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
400,,"Taylor, William Henry",1.0,male,28.0,Southampton,Fireman,,,,15,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
401,,"Thomas, J.",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
402,,"Thompson, John",1.0,male,42.0,Liverpool,Fireman,,,,Collapsible A,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,53.4083714,-2.9915726
403,,"Thresher, G.",1.0,male,25.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
404,,"Tizard, A.",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
405,,"Toung, F.",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
406,,"Triggs, R.",1.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
407,,"Turley, R.",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
408,,"Vear, H.",0.0,male,32.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
409,,"Vear, W.",0.0,male,32.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
410,,"Wardner, F.",0.0,male,39.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
411,,"Wateridge, E.",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
412,,"Watson, W.",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
413,,"Williams, E.",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
414,,"Witcher, A.",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
415,,"Witt, H.",0.0,male,40.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
416,,"Wyeth, J.",0.0,male,,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
417,,"Young, Francis",0.0,male,30.0,Southampton,Fireman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
418,,"May, A. W.",0.0,male,60.0,Northam,Fireman's messman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,51.039809,-4.213152
419,,"Knowles, T.",1.0,male,39.0,Lymington,Firemen's messman,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.758531,-1.5419099
420,,"Phillips, John George",0.0,male,25.0,London,First Marconi operator,,,,,"died on Collapsible B, buried at sea from Carpathia?",Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,51.5073509,-0.1277583
421,,"Murdoch, William McMaster",0.0,male,39.0,Southampton,First officer,,,,,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
422,,"Hume, John (Jock) Law",1.0,male,,,First violinist,,,,,"#193, buried Fairview Cemetery, Halifax NS",The Band,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,,
423,,"Vicat, J ",0.0,male,21.0,London,Fish cook, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,51.5073509,-0.1277583
424,,"Boxhall, Joseph Grove",1.0,male,28.0,Hull,Fourth Officer,,,,2,,Deck Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,53.76762360000001,-0.3274198
425,,"Ashe, H ",0.0,male,32.0,Liverpool,G. H. steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,53.4083714,-2.9915726
426,,"Crispin, W ",0.0,male,32.0,Eastleigh,G. H. steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.967182,-1.374688
427,,"White, J ",0.0,male,27.0,Portswood,G. H. steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.92520880000001,-1.391916
428,,"Wright, W ",0.0,male,40.0,Southampton,G. H. steward,,,,13,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
429,,"Salussolia, Giovenz",0.0,male,25.0,London,Glass man, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,51.5073509,-0.1277583
430,,"Baines, Rich",0.0,male,24.0,Southampton,Greaser,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
431,,"Bannon, John",0.0,male,32.0,Southampton,Greaser,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
432,,"Beattie, F.",0.0,male,34.0,Belfast,Greaser,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,54.59728500000001,-5.93012
433,,"Bott, W.",0.0,male,44.0,Southampton,Greaser,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
434,,"Castleman, E.",0.0,male,37.0,Southampton,Greaser,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
435,,"Couch, J.",0.0,male,45.0,Southampton,Greaser,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
436,,"Eastman, C.",0.0,male,,Southampton,Greaser,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
437,,"Fay, F.",0.0,male,30.0,Southampton,Greaser,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
438,,"Gardner, F.",0.0,male,,Southampton,Greaser,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
439,,"Goree, F.",0.0,male,28.0,Southampton,Greaser,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
440,,"Gregory, D.",0.0,male,,Southampton,Greaser,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
441,,"Jago, J.",0.0,male,,Southampton,Greaser,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
442,,"Jukes, J.",0.0,male,35.0,Southampton,Greaser,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
443,,"Kearl, C.",0.0,male,24.0,Southampton,Greaser,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
444,,"Kelly, Jas",0.0,male,,Southampton,Greaser,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
445,,"Kenchenten, Fredrick",0.0,male,,Southampton,Greaser,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
446,,"Kirkham, J.",0.0,male,,Southampton,Greaser,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
447,,"McInerney, T.",0.0,male,,Liverpool,Greaser,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,53.4083714,-2.9915726
448,,"Moores, R.",0.0,male,,Southampton,Greaser,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
449,,"Morris, A.",0.0,male,,Southampton,Greaser,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
450,,"Olive, C.",0.0,male,,Southampton,Greaser,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
451,,"Palles, T.",0.0,male,,Liverpool,Greaser,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,53.4083714,-2.9915726
452,,"Phillips, G.",0.0,male,,Southampton,Greaser,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
453,,"Pitfield, W.",0.0,male,,"Woolston, Hampshire",Greaser,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.8935081,-1.3748443
454,,"Pregnall, George",1.0,male,31.0,Southampton,Greaser,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
455,,"Ranger, Thomas",1.0,male,,Southampton,Greaser,,,,4,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
