,Pclass,Name,Survived,Sex,Age,Hometown,Role,Role Additional info,Image,Misc Information,Lifeboat,Body Disposition,Job Area,Source of info 1,Source of info 2,Home_Lat,Home_Lng
62,,"Gollop, C ",0.0,male,28.0,Bournemouth,Assistant cook,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.719164,-1.880769
63,,"Lock, A ",0.0,male,33.0,Southampton,Assistant cook,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
64,,"Thorley, W ",0.0,male,15.0,Southampton,Assistant cook,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
65,,"Welch, W. H ",0.0,male,,Southampton,Assistant cook,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
66,,"Millar, T.",0.0,male,33.0,Belfast,Assistant deck engineer,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,54.59728500000001,-5.93012
67,,"Boston, W ",0.0,male,30.0,Southampton,Assistant deck steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
68,,"Hawksworth, W ",0.0,male,38.0,Southampton,Assistant deck steward,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
69,,"Jupe, Herbert",0.0,male,31.0,"Bitterne Park, Southampton",Assistant electrican,,,,,"yes, buried at sea",Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.9286985,-1.3721383
70,,"Ervine, George",0.0,male,18.0,Belfast,Assistant electrician,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,54.59728500000001,-5.93012
71,,"Kelly, William",0.0,male,23.0,"Dublin, Ireland",Assistant electrician,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,53.3498053,-6.2603097
72,,"Middleton, Alfred Pirrie",0.0,male,17.0,"Ballisare, Sligo",Assistant electrician,,,,,,Engine Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,,
73,,"Monteverdi, J ",0.0,male,23.0,Southampton,Assistant entree, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
74,,"Dornier, S ",0.0,male,20.0,Southampton,Assistant fish, Ala Carte Restaurant,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,50.90970040000001,-1.4043509
75,,"Testoni, Ercole",0.0,male,23.0,,Assistant glass man,,,,,,Victualing Department,https://www.lva.virginia.gov/exhibits/titanic/crew.php,,,
